APP NAME,SPECIALITY,,,
Mental Health Psychology Facts,Amazing Psychology Facts for Life Hacks,,,
Iona,Iona Mind - Mental Health Support,,,
Mindshine: Mental Health Coach,Combat the root courses of poor mental-health,,,
29k: Mental Health & Wellbeing,unlimited access to evidence-based psychological tools�,,,
DBT Coach : Guided Therapy,�Dialectical Behavior Therapy ,,,
Mental Health Tests,Mental health condition,,,
Bravely�,Connect with your therapist on your Bravely therapy home,,,
WhiteFlag�,peer support app,,,
Breakfree,Meditation Therapy,,,
Liferise,Mystic Mindfulness,,,
MoodKit,tracking moods,,,
Talkspace,therapy,,,
Headspace,learning to meditate,,,
Better Stop Suicide,suicide awareness,,,
MindShift CBT,anxiety,,,
Quit That!,addiction,,,
Happify,boosting your mood,,,
Recovery Record,eating disorders,,,
NOCD,OCD,,,
Calm,sleep,,,
Reframe,reducing alcohol intake,,,
I Am Sober,quitting alcohol,,,
MoodKit,"tracking moods, creating positive thought patterns, reducing stress",,,
Talkspace,therapy,,,
Headspace,"learning to meditate, developing concentration, and improving sleep",,,
Better Stop Suicide,"suicide awareness, positive thinking",,,
iBreathe,"stress, breathing techniques",,,
MindShift CBT,"anxiety,social anxiety, and phobias",,,
Quit That!,"track habits to quit smoking, drinking alcohol, using drugs, or even consuming caffeine.",,,
Happify,"coping with stress, fueling your career success, achieving mindfulness through meditation",,,
Calm,"encourage relaxation, alleviate tension, and relieve stress",,,
Amwell,getting care for both your mental and physical health,,,
Talklife,safe space to talk openly about depression with others,,,
Sanvello,"to practice helpful techniques, such as visualization, mindfulness meditation, and muscle relaxation, all while nature soundscapes nudge you toward relaxation and calm.",,,
Vitamin Reiki,�provides you with free distant reiki healing,,,
Anxiety Relief Hypnosis,�to show you how to reduce anxiety and to learn anxiety management techniques.,,,
BetterHelp-Therapy,therapists covering a wide range of areas � from depression and anxiety,,,
ReikiAll,for reiki healing,,,
Chakras-Meditation & Healing,�Balance your body and mind,,,